spot_id,occupied_at,vacated_at
A2,2024-11-13 22:35,2024-11-13 23:59
A2,2024-11-13 11:26,2024-11-13 16:28
A2,2024-11-13 22:54,2024-11-13 23:59
A2,2024-11-13 04:22,2024-11-13 08:08
A2,2024-11-13 18:54,2024-11-13 23:59
A2,2024-11-13 15:18,2024-11-13 18:48
A2,2024-11-14 19:31,2024-11-14 23:59
A2,2024-11-14 14:45,2024-11-14 17:41
A2,2024-11-14 01:36,2024-11-14 11:13
A2,2024-11-14 13:33,2024-11-14 17:23
A2,2024-11-14 16:45,2024-11-14 21:28
A2,2024-11-14 13:52,2024-11-14 23:59
A2,2024-11-14 05:47,2024-11-14 06:33
A2,2024-11-14 20:54,2024-11-14 23:33
A2,2024-11-15 03:01,2024-11-15 14:31
A2,2024-11-15 16:59,2024-11-15 23:59
A2,2024-11-15 22:04,2024-11-15 23:59
A2,2024-11-15 02:18,2024-11-15 06:54
A2,2024-11-15 12:03,2024-11-15 18:30
A2,2024-11-15 11:02,2024-11-15 12:37
A2,2024-11-16 16:56,2024-11-16 19:08
A2,2024-11-16 00:48,2024-11-16 01:56
A2,2024-11-16 05:07,2024-11-16 08:51
A2,2024-11-16 15:16,2024-11-16 23:59
A2,2024-11-16 14:52,2024-11-16 23:59
A2,2024-11-17 14:57,2024-11-17 18:24
A2,2024-11-17 18:51,2024-11-17 22:12
A2,2024-11-17 16:24,2024-11-17 21:20
A2,2024-11-17 05:35,2024-11-17 09:10
A2,2024-11-17 13:51,2024-11-17 23:59
A2,2024-11-17 02:05,2024-11-17 02:35
A2,2024-11-17 14:39,2024-11-17 21:29
A2,2024-11-18 20:35,2024-11-18 23:17
A2,2024-11-18 09:22,2024-11-18 17:56
A2,2024-11-18 07:29,2024-11-18 10:20
A2,2024-11-18 07:20,2024-11-18 16:30
A2,2024-11-18 01:35,2024-11-18 06:22
A2,2024-11-18 20:54,2024-11-18 23:59
A2,2024-11-18 23:01,2024-11-18 23:59
A2,2024-11-18 16:49,2024-11-18 17:34
A2,2024-11-18 17:44,2024-11-18 23:56
A2,2024-11-18 15:13,2024-11-18 16:38
A2,2024-11-19 21:35,2024-11-19 23:59
A2,2024-11-19 17:13,2024-11-19 19:58
A2,2024-11-19 06:49,2024-11-19 17:27
A2,2024-11-19 14:59,2024-11-19 21:35
A2,2024-11-19 13:02,2024-11-19 23:48
A2,2024-11-19 19:42,2024-11-19 23:59
A2,2024-11-19 01:53,2024-11-19 08:41
A2,2024-11-19 01:12,2024-11-19 10:33
A2,2024-11-19 19:49,2024-11-19 21:32
A2,2024-11-20 09:30,2024-11-20 17:31
A2,2024-11-20 09:05,2024-11-20 12:13
A2,2024-11-20 03:04,2024-11-20 05:55
A2,2024-11-20 13:44,2024-11-20 23:11
A2,2024-11-20 05:41,2024-11-20 13:07
A2,2024-11-20 16:07,2024-11-20 17:46
A2,2024-11-20 04:24,2024-11-20 09:37
A2,2024-11-20 14:41,2024-11-20 23:59
A2,2024-11-20 17:43,2024-11-20 23:59
A2,2024-11-20 11:39,2024-11-20 14:50
