spot_id,occupied_at,vacated_at
C1,2024-11-13 10:05,2024-11-13 20:52
C1,2024-11-13 09:09,2024-11-13 19:31
C1,2024-11-13 22:56,2024-11-13 23:59
C1,2024-11-13 02:40,2024-11-13 05:16
C1,2024-11-13 17:17,2024-11-13 23:59
C1,2024-11-13 19:49,2024-11-13 23:59
C1,2024-11-13 19:47,2024-11-13 22:48
C1,2024-11-13 04:31,2024-11-13 09:09
C1,2024-11-13 04:52,2024-11-13 10:20
C1,2024-11-13 09:09,2024-11-13 15:51
C1,2024-11-14 07:31,2024-11-14 09:58
C1,2024-11-14 10:46,2024-11-14 20:30
C1,2024-11-14 14:51,2024-11-14 22:02
C1,2024-11-14 08:29,2024-11-14 14:04
C1,2024-11-14 12:06,2024-11-14 17:18
C1,2024-11-14 12:48,2024-11-14 14:00
C1,2024-11-15 06:51,2024-11-15 13:06
C1,2024-11-15 03:58,2024-11-15 13:50
C1,2024-11-15 07:23,2024-11-15 12:22
C1,2024-11-15 17:40,2024-11-15 18:46
C1,2024-11-15 00:43,2024-11-15 05:27
C1,2024-11-15 23:11,2024-11-15 23:59
C1,2024-11-15 20:34,2024-11-15 23:59
C1,2024-11-15 17:37,2024-11-15 23:01
C1,2024-11-15 05:10,2024-11-15 11:39
C1,2024-11-16 22:02,2024-11-16 23:59
C1,2024-11-16 06:03,2024-11-16 06:47
C1,2024-11-16 11:07,2024-11-16 18:22
C1,2024-11-16 05:49,2024-11-16 07:24
C1,2024-11-16 07:49,2024-11-16 08:28
C1,2024-11-16 20:43,2024-11-16 22:20
C1,2024-11-16 19:59,2024-11-16 23:59
C1,2024-11-16 14:51,2024-11-16 20:27
C1,2024-11-16 17:50,2024-11-16 19:42
C1,2024-11-17 19:01,2024-11-17 23:59
C1,2024-11-17 21:55,2024-11-17 23:59
C1,2024-11-17 00:50,2024-11-17 10:49
C1,2024-11-17 21:23,2024-11-17 21:53
C1,2024-11-17 22:42,2024-11-17 23:59
C1,2024-11-17 08:03,2024-11-17 19:15
C1,2024-11-17 00:28,2024-11-17 03:25
C1,2024-11-17 15:22,2024-11-17 17:30
C1,2024-11-18 22:22,2024-11-18 23:39
C1,2024-11-18 02:01,2024-11-18 09:10
C1,2024-11-18 22:41,2024-11-18 23:59
C1,2024-11-18 15:42,2024-11-18 23:59
C1,2024-11-18 23:28,2024-11-18 23:59
C1,2024-11-18 16:12,2024-11-18 23:59
C1,2024-11-18 18:47,2024-11-18 23:59
C1,2024-11-18 18:57,2024-11-18 23:59
C1,2024-11-18 07:10,2024-11-18 10:52
C1,2024-11-19 05:39,2024-11-19 10:41
C1,2024-11-19 19:17,2024-11-19 23:59
C1,2024-11-19 23:01,2024-11-19 23:59
C1,2024-11-19 04:52,2024-11-19 14:50
C1,2024-11-19 16:06,2024-11-19 17:46
C1,2024-11-19 22:59,2024-11-19 23:59
C1,2024-11-19 09:08,2024-11-19 09:43
C1,2024-11-19 01:56,2024-11-19 13:51
C1,2024-11-19 18:00,2024-11-19 22:02
C1,2024-11-19 21:30,2024-11-19 23:59
C1,2024-11-20 17:49,2024-11-20 19:20
C1,2024-11-20 23:40,2024-11-20 23:59
C1,2024-11-20 05:35,2024-11-20 07:56
C1,2024-11-20 21:22,2024-11-20 23:59
C1,2024-11-20 11:07,2024-11-20 22:32
C1,2024-11-20 08:21,2024-11-20 12:52
