spot_id,occupied_at,vacated_at
A4,2024-11-13 04:12,2024-11-13 12:51
A4,2024-11-13 08:26,2024-11-13 09:16
A4,2024-11-13 20:14,2024-11-13 23:59
A4,2024-11-13 19:02,2024-11-13 23:59
A4,2024-11-13 07:03,2024-11-13 13:32
A4,2024-11-13 14:12,2024-11-13 16:57
A4,2024-11-13 09:27,2024-11-13 20:34
A4,2024-11-13 13:31,2024-11-13 20:16
A4,2024-11-14 22:46,2024-11-14 23:59
A4,2024-11-14 05:32,2024-11-14 06:22
A4,2024-11-14 14:43,2024-11-14 16:44
A4,2024-11-14 00:51,2024-11-14 06:52
A4,2024-11-14 17:16,2024-11-14 23:59
A4,2024-11-14 17:28,2024-11-14 18:25
A4,2024-11-14 06:35,2024-11-14 07:41
A4,2024-11-14 19:29,2024-11-14 23:59
A4,2024-11-14 08:32,2024-11-14 09:08
A4,2024-11-14 22:10,2024-11-14 23:59
A4,2024-11-15 08:34,2024-11-15 14:50
A4,2024-11-15 08:57,2024-11-15 14:19
A4,2024-11-15 05:49,2024-11-15 06:49
A4,2024-11-15 19:59,2024-11-15 23:59
A4,2024-11-15 22:23,2024-11-15 23:59
A4,2024-11-15 01:30,2024-11-15 08:53
A4,2024-11-15 02:20,2024-11-15 12:37
A4,2024-11-15 11:19,2024-11-15 19:34
A4,2024-11-16 05:24,2024-11-16 15:29
A4,2024-11-16 20:49,2024-11-16 23:16
A4,2024-11-16 04:19,2024-11-16 15:45
A4,2024-11-16 19:54,2024-11-16 23:59
A4,2024-11-16 11:39,2024-11-16 22:05
A4,2024-11-16 14:15,2024-11-16 22:54
A4,2024-11-16 02:49,2024-11-16 09:32
A4,2024-11-16 05:07,2024-11-16 08:17
A4,2024-11-16 23:04,2024-11-16 23:59
A4,2024-11-17 03:55,2024-11-17 10:44
A4,2024-11-17 01:35,2024-11-17 07:53
A4,2024-11-17 22:06,2024-11-17 23:59
A4,2024-11-17 06:49,2024-11-17 12:42
A4,2024-11-17 01:38,2024-11-17 05:23
A4,2024-11-17 02:01,2024-11-17 09:08
A4,2024-11-17 03:03,2024-11-17 05:35
A4,2024-11-17 10:03,2024-11-17 14:40
A4,2024-11-18 08:37,2024-11-18 09:31
A4,2024-11-18 22:08,2024-11-18 23:59
A4,2024-11-18 09:03,2024-11-18 10:09
A4,2024-11-18 01:52,2024-11-18 06:00
A4,2024-11-18 19:02,2024-11-18 23:59
A4,2024-11-18 23:32,2024-11-18 23:59
A4,2024-11-18 11:52,2024-11-18 18:58
A4,2024-11-18 21:11,2024-11-18 23:59
A4,2024-11-18 04:51,2024-11-18 06:42
A4,2024-11-18 11:14,2024-11-18 13:15
A4,2024-11-19 14:48,2024-11-19 17:35
A4,2024-11-19 00:01,2024-11-19 09:10
A4,2024-11-19 17:46,2024-11-19 23:59
A4,2024-11-19 08:24,2024-11-19 16:48
A4,2024-11-19 03:51,2024-11-19 05:16
A4,2024-11-19 03:28,2024-11-19 07:27
A4,2024-11-19 17:56,2024-11-19 20:00
A4,2024-11-19 15:51,2024-11-19 17:58
A4,2024-11-20 07:55,2024-11-20 11:43
A4,2024-11-20 21:41,2024-11-20 23:59
A4,2024-11-20 05:04,2024-11-20 13:24
A4,2024-11-20 10:40,2024-11-20 20:58
A4,2024-11-20 09:18,2024-11-20 13:00
A4,2024-11-20 03:41,2024-11-20 15:31
