spot_id,occupied_at,vacated_at
B2,2024-11-13 09:47,2024-11-13 18:43
B2,2024-11-13 09:02,2024-11-13 13:07
B2,2024-11-13 15:06,2024-11-13 21:39
B2,2024-11-13 22:56,2024-11-13 23:59
B2,2024-11-13 17:50,2024-11-13 23:07
B2,2024-11-13 06:00,2024-11-13 16:34
B2,2024-11-14 20:12,2024-11-14 21:41
B2,2024-11-14 03:29,2024-11-14 10:31
B2,2024-11-14 13:49,2024-11-14 20:45
B2,2024-11-14 16:33,2024-11-14 22:08
B2,2024-11-14 02:31,2024-11-14 13:02
B2,2024-11-14 18:16,2024-11-14 23:59
B2,2024-11-14 00:02,2024-11-14 10:34
B2,2024-11-14 11:40,2024-11-14 13:17
B2,2024-11-14 23:52,2024-11-14 23:59
B2,2024-11-15 16:51,2024-11-15 17:51
B2,2024-11-15 00:03,2024-11-15 02:25
B2,2024-11-15 13:38,2024-11-15 18:37
B2,2024-11-15 10:18,2024-11-15 11:02
B2,2024-11-15 08:43,2024-11-15 14:47
B2,2024-11-15 19:16,2024-11-15 23:59
B2,2024-11-15 15:13,2024-11-15 16:20
B2,2024-11-15 12:46,2024-11-15 19:36
B2,2024-11-15 09:23,2024-11-15 18:42
B2,2024-11-15 14:01,2024-11-15 20:02
B2,2024-11-16 03:11,2024-11-16 06:02
B2,2024-11-16 14:27,2024-11-16 17:51
B2,2024-11-16 10:36,2024-11-16 22:07
B2,2024-11-16 03:41,2024-11-16 11:33
B2,2024-11-16 08:41,2024-11-16 16:38
B2,2024-11-16 23:36,2024-11-16 23:59
B2,2024-11-16 15:39,2024-11-16 23:53
B2,2024-11-17 11:09,2024-11-17 17:49
B2,2024-11-17 08:00,2024-11-17 09:14
B2,2024-11-17 03:58,2024-11-17 10:36
B2,2024-11-17 10:47,2024-11-17 19:49
B2,2024-11-17 06:49,2024-11-17 09:18
B2,2024-11-17 13:16,2024-11-17 23:27
B2,2024-11-17 12:48,2024-11-17 17:56
B2,2024-11-18 14:02,2024-11-18 23:59
B2,2024-11-18 01:57,2024-11-18 08:39
B2,2024-11-18 06:47,2024-11-18 12:25
B2,2024-11-18 07:17,2024-11-18 11:01
B2,2024-11-18 11:31,2024-11-18 18:22
B2,2024-11-18 11:08,2024-11-18 17:55
B2,2024-11-18 00:05,2024-11-18 00:57
B2,2024-11-18 06:03,2024-11-18 10:04
B2,2024-11-18 07:32,2024-11-18 19:31
B2,2024-11-19 14:19,2024-11-19 21:20
B2,2024-11-19 18:55,2024-11-19 23:59
B2,2024-11-19 10:00,2024-11-19 11:43
B2,2024-11-19 20:01,2024-11-19 20:50
B2,2024-11-19 23:32,2024-11-19 23:59
B2,2024-11-19 07:40,2024-11-19 08:16
B2,2024-11-20 11:43,2024-11-20 18:23
B2,2024-11-20 12:38,2024-11-20 19:08
B2,2024-11-20 20:07,2024-11-20 23:59
B2,2024-11-20 08:20,2024-11-20 11:10
B2,2024-11-20 08:09,2024-11-20 12:13
B2,2024-11-20 12:28,2024-11-20 15:56
