spot_id,occupied_at,vacated_at
C5,2024-11-13 22:48,2024-11-13 23:59
C5,2024-11-13 20:40,2024-11-13 23:59
C5,2024-11-13 00:52,2024-11-13 09:53
C5,2024-11-13 00:38,2024-11-13 02:00
C5,2024-11-13 16:59,2024-11-13 23:59
C5,2024-11-13 16:30,2024-11-13 23:15
C5,2024-11-13 08:05,2024-11-13 11:02
C5,2024-11-13 15:29,2024-11-13 16:02
C5,2024-11-13 22:43,2024-11-13 23:59
C5,2024-11-13 18:12,2024-11-13 23:59
C5,2024-11-14 20:27,2024-11-14 23:59
C5,2024-11-14 11:55,2024-11-14 13:13
C5,2024-11-14 00:05,2024-11-14 06:45
C5,2024-11-14 06:00,2024-11-14 14:51
C5,2024-11-14 17:28,2024-11-14 18:40
C5,2024-11-14 04:03,2024-11-14 11:29
C5,2024-11-14 06:05,2024-11-14 13:45
C5,2024-11-14 20:41,2024-11-14 22:22
C5,2024-11-15 16:49,2024-11-15 23:59
C5,2024-11-15 09:29,2024-11-15 19:33
C5,2024-11-15 20:15,2024-11-15 21:31
C5,2024-11-15 04:10,2024-11-15 08:30
C5,2024-11-15 22:40,2024-11-15 23:59
C5,2024-11-15 05:58,2024-11-15 10:16
C5,2024-11-15 22:36,2024-11-15 23:59
C5,2024-11-15 19:15,2024-11-15 23:59
C5,2024-11-16 05:41,2024-11-16 08:21
C5,2024-11-16 23:22,2024-11-16 23:59
C5,2024-11-16 01:36,2024-11-16 04:58
C5,2024-11-16 20:06,2024-11-16 23:59
C5,2024-11-16 00:33,2024-11-16 07:11
C5,2024-11-16 18:54,2024-11-16 23:59
C5,2024-11-16 04:52,2024-11-16 09:20
C5,2024-11-16 03:42,2024-11-16 08:16
C5,2024-11-16 17:02,2024-11-16 23:59
C5,2024-11-16 23:49,2024-11-16 23:59
C5,2024-11-17 18:46,2024-11-17 23:45
C5,2024-11-17 00:29,2024-11-17 06:20
C5,2024-11-17 08:19,2024-11-17 10:22
C5,2024-11-17 15:10,2024-11-17 18:52
C5,2024-11-17 09:14,2024-11-17 13:26
C5,2024-11-18 13:12,2024-11-18 19:08
C5,2024-11-18 00:33,2024-11-18 08:48
C5,2024-11-18 20:49,2024-11-18 23:59
C5,2024-11-18 20:45,2024-11-18 23:59
C5,2024-11-18 05:16,2024-11-18 13:39
C5,2024-11-18 09:18,2024-11-18 19:16
C5,2024-11-18 03:36,2024-11-18 04:40
C5,2024-11-18 01:04,2024-11-18 05:27
C5,2024-11-18 04:37,2024-11-18 07:22
C5,2024-11-18 13:06,2024-11-18 16:22
C5,2024-11-19 03:02,2024-11-19 13:59
C5,2024-11-19 04:53,2024-11-19 15:07
C5,2024-11-19 16:23,2024-11-19 17:12
C5,2024-11-19 16:33,2024-11-19 23:59
C5,2024-11-19 04:50,2024-11-19 06:22
C5,2024-11-19 23:08,2024-11-19 23:59
C5,2024-11-19 07:43,2024-11-19 16:32
C5,2024-11-19 06:41,2024-11-19 17:14
C5,2024-11-19 21:10,2024-11-19 22:32
C5,2024-11-19 19:46,2024-11-19 23:59
C5,2024-11-20 23:23,2024-11-20 23:59
C5,2024-11-20 10:27,2024-11-20 15:18
C5,2024-11-20 22:54,2024-11-20 23:59
C5,2024-11-20 10:29,2024-11-20 11:45
C5,2024-11-20 21:11,2024-11-20 23:59
C5,2024-11-20 19:01,2024-11-20 23:59
C5,2024-11-20 07:05,2024-11-20 14:24
